version:4
prefix;root;translation;example
über;nehmen;to take over;Die Firma übernimmt den Konkurrenten.
ge;nehmigen;to approve;Die Behörde genehmigt den Bau.
er;nennen;to name, call;Man nennt ihn auch den "Zauberer".
ge;nesen;to recover;Nach der Operation ist er schnell genesen.
ge;nießen;to enjoy;Ich genieße den sonnigen Tag.
be;nutzen;to exploit;Er benutzt die Gelegenheit, um zu gehen.
be;nutzen;to use;Wir benutzen dieses Gerät jeden Tag.
an;ordnen;to order, arrange;Der Lehrer ordnet die Sitzordnung neu an.
bei;ordnen;to assign additionally;Der Chef ordnet noch neue Aufgaben bei.
ein;ordnen;to file, classify;Bitte ordne die Dokumente richtig ein.
unter;ordnen|(sich);to subordinate;Er ordnet sich den Regeln unter.
aus;packen;to unpack;Packst du bitte deinen Koffer aus?
an;passen;to adapt, adjust;Wir passen das Konzept an.
auf;passen;to keep an eye on;Pass bitte auf die Kinder auf.
ver;passen;to fail to do;Ich habe es verpasst, dich anzurufen.
ver;passen;to miss (train, etc.);Ich verpasse den Zug schon wieder.
hinterher;pfeifen;to whistle after (wolf-whistle);Die Bauarbeiter pfeifen den Passanten hinterher.
bei;pflichten;to agree with;Ich pflichte dir voll und ganz bei.
zer;pflücken;to pluck apart;Das Kind zerpflückt die Blume.
vor;planen;to plan in advance;Wir planen unser Projekt weit im Voraus vor.
zer;platzen;to burst;Der Luftballon zerplatzt mit einem Knall.
zurück;prallen;to bounce back;Der Ball prallt von der Wand zurück.
an;probieren;to try on;Ich probiere die Schuhe an.
ein;prägen;to memorize, imprint;Ich präge mir die Vokabeln ein.
ein;prägen|(sich);to imprint something on someone;Das Logo prägt sich den Kunden sofort ein.
über;prüfen;to check, verify;Wir überprüfen die Ergebnisse gründlich.
weg;pusten;to blow away;Der Wind pustet die Blätter weg.
über;queren;to cross;Wir überqueren die Straße bei Grün.
zer;quetschen;to squash;Pass auf, dass du die Tomaten nicht zerquetschst.
über;raschen;to surprise;Sie überraschen ihn mit einer Feier.
ge;raten;to get into, turn out;Wir geraten in einen Stau.
miss;raten;to turn out badly;Der Kuchen ist missraten.
aus;reden;to talk something out;Wir müssen das Problem ausreden.
mit;reden;to join the conversation;Er redet gerne bei allen Themen mit.
zer;reden;to talk something to death;Wir zerreden jedes neue Thema.
über;reden;to persuade;Er überredet sie, mitzukommen.
auf;regen;to upset someone;Die Nachricht regt ihn sehr auf.
auf;regen|(sich);to get worked up;Reg dich nicht so auf, es wird schon gut.
zer;reiben;to rub to pieces;Sie zerreibt die Kräuter im Mörser.
er;reichen;to reach, achieve;Wir erreichen unser Ziel bald.
nach;reichen;to hand in later;Du kannst deine Hausaufgaben morgen nachreichen.
ver;reisen;to go on a trip;Wir verreisen nächstes Wochenende.
zer;reißen;to tear apart;Er zerreißt wütend den Brief.
ein;richten;to adjust, tune;Wir richten die Antenne neu ein.
ein;richten;to establish, set up;Die Firma richtet eine neue Abteilung ein.
ein;richten;to set up, furnish;Wir richten unsere neue Wohnung ein.
unter;richten;to teach;Sie unterrichtet Deutsch als Fremdsprache.
ge;ringschätzen;to underestimate, belittle;Bitte geringschätze seine Leistung nicht.
an;rufen;to call (on the phone);Ich rufe dich später an.
aus;ruhen|(sich);to rest;Ruh dich nach dem Lauf aus.
auf;räumen;to tidy up;Räum bitte dein Zimmer auf.
ein;räumen;to put away, load (dishwasher);Bitte räum das Geschirr in die Spülmaschine ein.
weg;räumen;to clear away;Räum bitte deine Sachen weg.
;sagen;to say;Was hast du gesagt?
an;sagen;to announce;Der Moderator sagt den nächsten Titel an.
hinterher;sagen;to repeat after someone;Das Kind sagt jedes Wort hinterher.
zu;sagen;to promise;Kannst du mir morgen zusagen?
zer;salzen;to oversalt (ruin by salt);Er hat die Suppe völlig zersalzen.
an;schaffen;to purchase, acquire;Wir schaffen neue Computer an.
aus;schalten;to switch off;Schalt bitte den Fernseher aus.
ein;schalten;to switch on;Schalte den Computer ein, bitte.
an;schauen;to look at;Schau dir dieses Buch an.
ge;schehen;to happen;Ein Unfall ist auf der Autobahn geschehen.
ent;scheiden;to decide;Wir entscheiden das morgen.
hinterher;schicken;to send after;Ich schicke ihm die Unterlagen hinterher.
mit;schicken;to send along;Schickst du mir die Dateien mit?
nach;schicken;to send after;Wir schicken dir das Paket nach, wenn du umgezogen bist.
zurück;schicken;to send back;Ich schicke den Artikel zurück.
ver;schieben;to postpone;Wir verschieben das Treffen auf morgen.
;schlafen;to sleep;Das Baby schläft.
aus;schlafen;to sleep in;Am Wochenende schlafe ich gerne aus.
bei;schlafen;to have intercourse (archaic);Er hat ihr damals beigeschlafen.
ein;schlafen;to fall asleep;Ich schlafe abends schnell ein.
nach;schlagen;to look up (in a dictionary);Schlag das Wort im Wörterbuch nach.
vor;schlagen;to suggest;Sie schlägt einen Ausflug vor.
zer;schlagen;to smash;Sie zerschlägt den Teller aus Versehen.
zurück;schlagen;to strike back;Er schlägt im Spiel sofort zurück.
weg;schleppen;to carry away;Die Diebe schleppten alles Wertvolle weg.
ab;schließen;to conclude (contract);Wir schließen eine Versicherung ab.
ab;schließen;to lock, finish;Schließ die Tür ab.
ent;schließen|(sich);to decide;Ich entschließe mich, nach Berlin zu ziehen.
ent;schließen|(sich);to resolve, make up one's mind;Sie entschließt sich, den Job anzunehmen.
ent;schlüsseln;to decode;Der Hacker entschlüsselt die Daten.
mit;schneiden;to record or cut together;Der Regisseur schneidet das Bonusmaterial mit.
er;schrecken;to frighten, startle;Das laute Geräusch erschreckt mich.
zurück;schrecken;to recoil;Sie schreckt vor nichts zurück.
;schreiben;to write;Sie schreibt eine E-Mail.
auf;schreiben;to write down;Schreib bitte meine Nummer auf.
be;schreiben;to describe;Beschreibe mir den Weg bitte.
be;schreiben;to label, write on;Er beschreibt die Kiste mit Datum.
bei;schreiben;to add in writing;Ich schreibe noch eine Notiz bei.
mit;schreiben;to take notes;Wir schreiben alle im Kurs mit.
um;schreiben;to paraphrase;Kannst du den Satz umschreiben?
unter;schreiben;to sign;Bitte unterschreiben Sie hier.
vor;schreiben;to prescribe, dictate;Die Regeln schreiben vor, was erlaubt ist.
ent;schuldigen;to excuse, apologize;Entschuldige bitte mein Verhalten.
ent;schuldigen|(sich);to apologize;Ich entschuldige mich für die Verspätung.
ver;schwinden;to disappear;Der Hund verschwindet im Wald.
ein;schätzen;to estimate, assess;Wie schätzt du die Lage ein?
miss;schätzen;to misjudge;Wir haben den Aufwand total missschätzt.
unter;schätzen;to underestimate;Unterschätze deine Gegner nicht.
er;schöpfen;to exhaust, use up;Wir haben alle Ressourcen erschöpft.
ein;schüchtern;to intimidate (rare usage);Seine laute Art schüchtert mich ein.
;sehen;to see;Ich sehe den Bus.
an;sehen;to look at, watch;Sieh dir diesen Film an!
an;sehen;to regard, consider;Viele sehen das Problem als harmlos an.
aus;sehen;to look, appear;Du siehst heute sehr müde aus.
ein;sehen;to realize, see (one's mistake);Ich sehe ein, dass ich falsch lag.
nach;sehen;to check;Sie sieht nach dem Herd nach.
nach;sehen;to check on, look after;Sieh bitte nach, ob die Tür zu ist.
über;sehen;to overlook;Ich habe den Fehler leider übersehen.
über;sehen;to supervise;Er übersieht die Arbeiten am Bau.
zurück;sehnen|(sich);to long to go back;Sie sehnt sich in ihre Heimat zurück.
;sein;to be;Ich bin heute müde.
ge;sellen|(sich);to join someone;Er gesellt sich zu uns.
ab;setzen;to cancel (a show);Der Sender setzte die Serie ab.
ab;setzen;to depose;Der Vorstand setzte den Chef ab.
ab;setzen;to set down;Setz dich bitte kurz ab.
an;setzen;to apply, start;Wir setzen eine neue Regel an.
aus;setzen;to suspend;Die Sitzung wird ausgesetzt.
bei;setzen;to bury;Man setzt ihn im Familiengrab bei.
durch;setzen;to assert oneself;Sie setzt sich im Beruf durch.
durch;setzen;to enforce;Er setzt seine Idee durch.
ein;setzen;to begin, start (rain);Gegen Abend setzte starker Regen ein.
ein;setzen;to insert, deploy;Setz den Akku wieder ein.
ein;setzen;to substitute (player);Der Trainer setzt ihn in der zweiten Halbzeit ein.
er;setzen;to replace;Wir ersetzen alte Geräte durch neue.
nach;setzen;to pursue, chase after;Die Polizei setzt dem Verdächtigen nach.
um;setzen;to implement;Wir setzen den Plan um.
um;setzen;to move to another seat;Die Lehrerin setzte ihn nach vorne um.
über;setzen;to ferry across;Wir setzten mit der Fähre über.
über;setzen;to translate;Bitte übersetze diesen Text ins Deutsche.
hinter;sich bringen;to get something over with;Ich bringe die Prüfung schnell hinter mich.
vor;singen;to sing in front of others;Sie singt den Song der Klasse vor.
hinter;sinnen;to reflect upon (archaic);Man kann lange über das Problem hintersinnen.
;sitzen;to sit;Sie sitzt am Fenster.
aus;sortieren;to sort out;Sie sortiert ihre alten Sachen aus.
ent;spannen;to relax something;Eine Massage entspannt meine Muskeln.
ent;spannen|(sich);to relax;Am Wochenende entspanne ich mich gern.
;spielen;to play;Die Kinder spielen draußen.
mit;spielen;to play along;Wer will noch bei dem Spiel mitspielen?
vor;spielen;to perform for someone;Spielt ihr uns etwas auf der Gitarre vor?
hinterher;spionieren;to spy after someone;Er spioniert ihr ständig hinterher.
zer;splittern;to splinter;Das Holz zersplittert beim Aufprall.
;sprechen;to speak;Wir sprechen Deutsch.
aus;sprechen;to pronounce;Wie spricht man dieses Wort aus?
ver;sprechen;to promise;Er verspricht Besserung.
vor;sprechen;to audition;Ich spreche morgen für das Theaterstück vor.
bei;springen;to jump in to help;Er springt bei, wenn ich Hilfe brauche.
weg;spülen;to wash away;Das Hochwasser spült die Brücke weg.
ge;stalten;to shape, form;Wir gestalten das Zimmer neu.
ge;statten;to allow, permit;Gestatten Sie eine Frage?
weg;stecken;to put away (in a pocket/bag);Steck dein Handy bitte weg.
;stehen;to stand;Der Mann steht vor der Tür.
auf;stehen;to get up;Ich stehe jeden Morgen um sieben Uhr auf.
auf;stehen;to stand up;Bitte steh auf, wenn der Lehrer hereinkommt.
bei;stehen;to stand by, support;In der Not stehe ich dir bei.
ent;stehen;to arise, develop;Hier entsteht ein neues Gebäude.
unter;stehen;to be subordinate to;Er untersteht direkt dem Chef.
ver;stehen;to interpret;Die Aussage ist so zu verstehen.
ver;stehen;to understand;Ich verstehe dich gut.
über;stehen;to withstand, endure;Wir überstehen gemeinsam jede Krise.
an;steigen;to rise;Die Preise steigen jedes Jahr an.
aus;steigen;to get off (a vehicle);Wir steigen an der nächsten Haltestelle aus.
aus;steigen;to quit, opt out;Er steigt nach dem Streit aus dem Projekt aus.
ein;steigen;to enter, join (a business);Sie steigt ins Geschäft ihres Vaters ein.
ein;steigen;to get in/on (vehicle);Steig bitte ins Auto ein.
um;steigen;to change trains;Wir müssen in Köln umsteigen.
ab;stellen;to park, station;Stell den Wagen bitte dort ab.
ab;stellen;to switch off;Stell bitte den Motor ab.
an;stellen;to employ;Die Firma stellt ihn an.
an;stellen;to switch on (device/gas);Stell bitte den Herd an.
auf;stellen;to draw up, compile;Wir stellen eine Liste der Aufgaben auf.
auf;stellen;to set up;Wir stellen die Stühle auf.
be;stellen;to cultivate (land);Der Bauer bestellt das Feld.
be;stellen;to order (goods);Wir bestellen eine Pizza.
dar;stellen;to depict;Der Film stellt die Zeit gut dar.
ein;stellen;to discontinue;Die Produktion wird nächstes Jahr eingestellt.
ein;stellen;to hire, adjust;Die Firma stellt neue Mitarbeiter ein.
ein;stellen;to tune in (radio);Stell den Sender bitte richtig ein.
her;stellen;to produce;Die Fabrik stellt Autos her.
um;stellen;to rearrange;Wir stellen die Möbel um.
um;stellen;to reset (clock);Stell bitte die Uhr um.
unter;stellen;to insinuate;Unterstelle mir bitte nichts Falsches!
unter;stellen;to place, shelter;Wir stellen das Auto unter.
ver;stellen;to adjust;Bitte verstelle die Uhr nicht.
ver;stellen;to misplace;Ich habe den Schlüssel verstellt.
vor;stellen;to introduce;Darf ich dir meinen Freund vorstellen?
vor;stellen;to present, introduce;Ich stelle dir einen Plan vor.
zu;stellen;to deliver, provide;Der Lieferant stellt die Ware zu.
zurück;stellen;to put back, postpone;Wir stellen das Treffen auf nächste Woche zurück.
vor;stellen|(sich);to imagine;Ich kann mir das gut vorstellen.
vor;stellen|(sich);to introduce oneself;Ich stelle mich der neuen Klasse vor.
an;stoßen;to bump into;Ich habe mir den Kopf an der Tür angestoßen.
an;stoßen;to toast;Wir stoßen auf deinen Erfolg an.
vor;stoßen;to push forward/offend;Pass auf, dass du niemanden vorstößt.
be;strafen;to punish;Er bestraft sie für das Fehlverhalten.
an;strengen;to strain something;Diese lange Aufgabe strengt meine Augen an.
an;strengen|(sich);to exert oneself;Du musst dich mehr anstrengen.
zer;streuen;to scatter;Der Wind zerstreut die Blätter überall.
zer;stören;to destroy;Der Sturm zerstört viele Häuser.
hinterher;stürmen;to rush after;Der Fan stürmt dem Star hinterher.
unter;stützen;to support;Wir unterstützen ein Kinderhilfswerk.
;suchen;to search;Wir suchen eine Wohnung.
be;suchen;to attend (a course);Sie besucht einen Deutschkurs.
be;suchen;to visit;Ich besuche meine Eltern am Wochenende.
ver;suchen;to try;Er versucht es immer wieder.
auf;tauchen;to surface, appear;Das U-Boot taucht langsam auf.
hinterher;tauchen;to dive after something;Der Taucher taucht dem Schatz hinterher.
unter;tauchen;to submerge, go into hiding;Er taucht eine Weile unter.
auf;tauen;to thaw;Das Eis taut langsam auf.
um;tauschen;to exchange;Kann ich das Hemd umtauschen?
aus;teilen;to hand out;Der Lehrer teilt die Tests aus.
mit;teilen;to inform, communicate;Teile mir bitte deine Pläne mit.
mit;teilen;to share;Er teilt seine Erfahrung mit uns mit.
ver;teilen;to distribute;Wir verteilen die Broschüren an Passanten.
hinterher;telefonieren;to call repeatedly;Ich muss dem Kundenservice hinterhertelefonieren.
miss;tippen;to mistype;Ich habe mich beim Passwort misstippt.
bei;tragen;to contribute;Jeder trägt etwas zum Erfolg bei.
mit;tragen;to bear jointly, support;Wir tragen die Kosten alle mit.
miss;trauen;to distrust;Sie misstraut ihm seit dem Vorfall.
nach;trauern;to mourn;Sie trauert noch ihrer verlorenen Liebe nach.
;treffen;to meet;Wir treffen uns morgen.
hinter;treiben;to thwart, undermine;Sie hintertreibt seine Pläne.
über;treiben;to exaggerate;Sie übertreibt gerne Geschichten.
an;treten;to run for office;Sie tritt bei der Wahl an.
an;treten;to start (a job), report;Ich trete morgen meinen neuen Job an.
auf;treten;to appear, occur;Das Problem tritt leider wieder auf.
auf;treten;to perform (on stage);Die Band tritt heute Abend auf.
bei;treten;to join (an org.);Er tritt morgen dem Verein bei.
ein;treten;to enter;Tritt bitte in das Zimmer ein.
ein;treten;to occur;Ein Schaden trat plötzlich ein.
ein;treten;to take effect;Der Vertrag tritt morgen in Kraft.
ver;treten;to represent;Der Anwalt vertritt seine Mandanten.
ver;treten;to sprain;Er hat sich den Knöchel vertreten.
weg;treten;to step aside;Bitte treten Sie einen Moment weg.
;trinken;to drink;Wir trinken Wasser.
aus;trinken;to finish drinking;Trink bitte dein Glas aus.
er;trinken;to drown;Er ist im Fluss beinahe ertrunken.
be;täuben;to numb, stun;Der Zahnarzt betäubt den Nerv.
be;urteilen;to judge;Bitte beurteile mich nicht so schnell.
miss;urteilen;to judge incorrectly;Ich habe über ihn leider missurteilt.
ver;urteilen;to condemn, sentence;Das Gericht verurteilt ihn zu einer Geldstrafe.
zurück;verfolgen;to trace back;Wir können die Ursache bis zum Anfang zurückverfolgen.
miss;vergnügen;to displease (archaic);Ihre Kritik missvergnügt ihn sehr.
zurück;verlangen;to ask for something back;Er verlangt sein Buch zurück.
unter;vermieten;to sublet;Ich untervermiete mein Zimmer für den Sommer.
miss;verstehen;to misunderstand;Bitte missversteh meine Worte nicht.
nach;vollziehen;to comprehend;Ich kann deine Gedanken gut nachvollziehen.
er;wachen;to awake;Sie erwacht jeden Morgen um sechs Uhr.
nach;wachsen;to regrow;Die Haare wachsen nach dem Schnitt schnell nach.
ein;wandern;to immigrate;Viele Menschen wandern in dieses Land ein.
aus;wechseln;to exchange;Ich wechsle mein Geld in Euro aus.
zurück;weichen;to back away;Er weicht langsam zurück.
ab;weisen;to reject;Die Firma weist die Forderung ab.
auf;weisen;to exhibit, show;Der Bericht weist große Lücken auf.
aus;weisen;to expel, deport;Die Polizei weist den Täter aus.
ein;weisen;to admit (to a hospital);Der Arzt weist ihn in die Klinik ein.
er;weisen;to show, render;Wir erweisen ihm Respekt.
hin;weisen;to point out;Die Lehrerin weist auf den Fehler hin.
nach;weisen;to prove;Er kann seine Aussage nicht nachweisen.
unter;weisen;to instruct;Der Meister unterweist die Azubis.
ver;weisen;to refer, direct;Man verweist auf die Dokumente.
zu;weisen;to assign;Der Chef weist ihr neue Aufgaben zu.
zurück;weisen;to reject, refuse;Das Gericht weist die Klage zurück.
über;weisen;to transfer (money);Ich überweise das Geld auf dein Konto.
;werden;to become;Er wird Arzt.
ein;werfen;to throw in;Wir werfen den Brief in den Kasten ein.
ent;werfen;to design;Sie entwirft eine neue Kollektion.
ent;werfen;to draft, design;Sie entwirft ein neues Logo.
hinterher;werfen;to throw after someone;Sie wirft ihm den Schlüssel hinterher.
vor;werfen;to accuse;Er wirft mir vor, gelogen zu haben.
weg;werfen;to throw away;Wir werfen den alten Müll weg.
aus;werten;to evaluate, analyze;Wir werten die Daten gerade aus.
ge;wichten;to weight (factors);Wir gewichten die Faktoren unterschiedlich.
hinterher;winken;to wave after someone;Sie winkt ihrem Freund hinterher.
zurück;winken;to wave back;Er winkt ihr fröhlich zurück.
ge;winnen;to win;Sie gewinnt den ersten Preis.
ein;wirken;to take effect;Die Medizin muss erst einwirken.
er;wischen;to catch (someone doing sth);Erwischt! Du hast geschummelt.
weg;wischen;to wipe away;Wisch bitte den Schmutz weg.
;wissen;to know;Ich weiß die Antwort.
ge;wittern;to storm (impersonal);Heute gewittert es den ganzen Abend.
be;wohnen;to inhabit;Wir bewohnen eine kleine Wohnung.
bei;wohnen;to attend, be present at;Er wohnt der Versammlung bei.
aus;wählen;to choose;Wähle ein passendes Beispiel aus.
ver;wählen;to choose/dial incorrectly;Ich habe mich verwählt.
ge;währen;to grant;Der Chef gewährt mir Urlaub.
über;wältigen;to overwhelm;Das Ereignis überwältigt sie emotional.
ge;wöhnen;to accustom someone;Wir gewöhnen das Team an den neuen Ablauf.
ge;wöhnen|(sich);to get used to;Ich gewöhne mich langsam an das Klima.
be;zahlen;to pay;Ich bezahle an der Kasse.
be;zahlen;to pay for;Ich bezahle das Mittagessen für dich.
zurück;zahlen;to pay back;Ich zahle dir das Geld morgen zurück.
be;zaubern;to enchant;Du bezauberst mich mit deinem Lächeln.
ver;zaubern;to enchant;Das Märchen verzaubert alle Kinder.
weg;zaubern;to make vanish magically;Der Zauberer zaubert das Kaninchen weg.
zer;zausen;to tousle, rumple;Der Wind zerzaust meine Haare.
unter;zeichnen;to sign (treaty);Die Staaten unterzeichnen den Vertrag.
vor;zeichnen;to outline, sketch;Der Trainer zeichnet die Strategie vor.
;zeigen;to show;Zeig mir dein Foto.
auf;zeigen;to demonstrate, point out;Die Studie zeigt das Problem klar auf.
ver;zeihen;to forgive;Kannst du mir jemals verzeihen?
ab;ziehen;to pull off;Zieh die Schuhe ab.
ab;ziehen;to withdraw troops;Die Armee zog sich ab.
an;ziehen;to attract;Das Angebot zieht viele Leute an.
an;ziehen;to put on (clothes);Ich ziehe eine Jacke an, weil es kalt ist.
an;ziehen;to tighten (screw);Zieh die Schraube bitte fest an.
aus;ziehen;to move out;Meine Schwester zieht nächste Woche aus.
ein;ziehen;to move in;Sie ziehen nächste Woche ein.
ent;ziehen;to withdraw;Man hat ihm die Lizenz entzogen.
er;ziehen;to bring up, educate;Sie erzieht ihre Kinder sehr liebevoll.
hinter;ziehen;to evade (taxes, etc.);Er hat Steuern hinterzogen.
hinterher;ziehen;to pull behind;Sie zieht den Koffer hinter sich her.
hoch;ziehen;to pull up;Zieh den Reißverschluss hoch.
um;ziehen;to move house;Wir ziehen nächste Woche um.
unter;ziehen;to subject to;Wir unterziehen das Produkt einem Test.
unter;ziehen;to undergo;Er unterzog sich einer Operation.
vor;ziehen;to prefer;Ich ziehe Tee Kaffee vor.
weg;ziehen;to move away;Er zieht im nächsten Monat weg.
an;ziehen|(sich);to get dressed;Ich ziehe mich morgens schnell an.
aus;ziehen|(sich);to undress;Ich ziehe mich für die Untersuchung aus.
um;ziehen|(sich);to change clothes;Ich ziehe mich nach der Arbeit schnell um.
er;zielen;to achieve, obtain;Wir erzielen gute Ergebnisse im Test.
be;zweifeln;to doubt;Er bezweifelt meine Geschichte.
er;zählen;to tell, recount;Er erzählt eine lustige Geschichte.
mit;zählen;to count in;Zähl mich bitte auch mit.
nach;zählen;to recount;Zähl nochmal nach, ob das Geld stimmt.
an;zünden;to light, ignite;Zünde bitte die Kerze an.
ent;zünden;to ignite;Eine kleine Flamme entzündet das Feuer.
er;öffnen;to open, inaugurate;Sie eröffnet ein neues Geschäft.
ein;üben;to practice;Übe den Dialog gut ein.
